,pred_pIC50,MW,LogP,NumHDonors,NumHAcceptors,1,0,IC50
2251,4.150716659375122,664.9209999999999,4.919200000000004,5.0,9.0,LTS0036985,C=C(CC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C[C@@H]1[C@@](C)(CCC(=O)OC)[C@H](C(=C)C)CC[C@]12C)C(C)C,7.067785174186607e-05
2252,4.197584039471264,734.9240000000001,3.051100000000001,7.0,11.0,LTS0254823,C=C1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,6.344771126828714e-05
2253,3.741707696904622,342.3470000000001,3.320300000000003,4.0,6.0,LTS0036114,CC1=CC(=O)c2c(O)c(O)c(O)c3c(O)c4c(c1c23)O[C@H](C)C4(C)C,0.0001812559630410817
2254,2.8417678226426673,991.0840000000009,-3.0256999999999867,13.0,23.0,LTS0244040,CCCC(CCCCCCCCCC(=O)O)OC1OC(C)C(O)C(O)C1OC1OC(C)C(OC2OC(C)C(OC3OC(C)C(O)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C1O,0.0014395679773067612
2255,2.9053485125790286,338.447,5.391500000000005,0.0,3.0,LTS0106325,COc1ccc(C=Cc2cc(OC)c(CC=C(C)C)c(OC)c2)cc1,0.0012435163144588447
2256,3.4868970369619428,704.8570000000002,6.565500000000007,2.0,10.0,LTS0044942,CC1CC2Cc3c(O)c(Cc4c(O)c5c(c6c4OC4(C)OCC(C)C4C6)OC4(C)OCC(C)C4C5)c4c(c3OC2(C)O1)CC1C(C)COC1(C)O4,0.0003259139599018848
2257,2.0556959700904023,234.339,3.7240000000000033,2.0,2.0,LTS0257177,C/C(=C\CCC(C)C)c1ccc(CO)cc1O,0.008796380961527754
2258,4.182195109469369,614.8200000000003,6.889200000000008,1.0,7.0,LTS0047174,CC(=O)OC[C@]1(C)[C@@H](OC(C)=O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC=C2[C@@H]3CC(C)(C)CC[C@]3(C(=O)O)[C@@H](OC(C)=O)C[C@]21C,6.573624468816262e-05
2259,3.8111224838117943,250.33799999999994,2.760700000000001,2.0,2.0,LTS0036869,C=C(C(=O)O)C1CCC2(C)CCC(O)C(=C)C2C1,0.00015448186938067069
2260,3.2595669121670277,348.43899999999996,3.0495000000000014,4.0,5.0,LTS0045138,CC(C)c1cc2c(c(O)c1O)C13CCCC(C)(C)C1C(O)C2OC3O,0.00055008916121717
2261,2.6451457924291817,466.7500000000003,8.825900000000004,0.0,2.0,LTS0106374,C/C=C(/CC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](OC(C)=O)[C@@H](C)[C@@H]1CC3)C(C)C,0.0022638841952817555
2262,4.15380818950543,568.7950000000005,6.902100000000009,2.0,5.0,LTS0045576,CC(C)=CC(=O)OC1CC(C)(C)CC2C3=CCC4C5(C)CCC(=O)C(C)(CO)C5CCC4(C)C3(C)CCC12C(=O)O,7.017651715811352e-05
2263,3.847653119322965,270.23999999999995,1.3654999999999997,3.0,5.0,LTS0253116,O=C1c2ccc(O)cc2C(=O)c2c(O)cc(CO)cc21,0.0001420191407312146
2264,1.7200036651255126,318.373,2.7806700000000006,4.0,4.0,LTS0118343,CC(C)/C=C/C=C/C(O)=NC1=CC(O)(CCC(=N)O)C=CC1=O,0.019054446373462628
2265,3.6145301743480918,927.1350000000011,0.6303000000000054,10.0,17.0,LTS0047228,CC1OC(OC2CCC3(C)C(CCC4(C)C3C=CC35OCC6(CCC(C)(C)CC63)CCC45C)C2(C)CO)C(OC2OC(CO)C(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O,0.00024292366552133762
2266,2.703454944300953,250.76899999999995,3.8497400000000033,0.0,1.0,LTS0256640,Cc1cc2c(c(C)c1CCCl)C(=O)C(C)(C)C2,0.0019794523680420795
2267,2.0893981719491297,352.55899999999997,6.415700000000008,2.0,2.0,LTS0254898,CCCCCCCCCCCCCCCC[C@H](O)/C=C\C=C\C(=O)O,0.008139576852354884
2268,2.550627540604951,366.5420000000001,6.365300000000007,1.0,4.0,LTS0107713,CCCCCCCC/C=C\CCCCCCC1=C(O)[C@](C)(OC)OC1=O,0.0028143134056326205
2269,2.4344656350248433,234.33899999999994,3.789900000000003,1.0,1.0,LTS0046768,C=C1CCC=C(C(=O)O)CCC2C1CC2(C)C,0.003677344904245464
2270,2.735036767272913,230.307,3.0841200000000013,0.0,2.0,LTS0044646,Cc1coc2c1C[C@]1(C)[C@@H](C=CC(=O)[C@@H]1C)C2,0.0018406161687228462
2271,2.956134470735521,362.51,5.903100000000007,2.0,3.0,LTS0116064,CCCC(=O)CCCCCCCCCCCc1cccc(O)c1C(=O)O,0.0011062811927522642
2272,4.165664575616297,325.314,-5.142599999999993,8.0,10.0,LTS0227259,OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)CN[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,6.828658973471517e-05
2273,3.9608073936599832,350.4110000000002,0.4380999999999997,3.0,6.0,LTS0019666,C=C1C[C@@H](O)[C@H](O)[C@@]2(C)[C@@H]3[C@H](O)[C@H]4OC(=O)[C@H]([C@@H]4C)[C@@]3(C)C(=O)C[C@H]12,0.00010944416353006424
2274,3.6307787125761597,933.0950000000004,-1.2049999999999874,11.0,19.0,LTS0038615,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1C,0.00023400292573634143
2275,4.036020267210534,373.4930000000001,1.8336999999999999,3.0,5.0,LTS0036458,CC1C2CCC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC32C(O)N1CO,9.204066181565772e-05
2276,1.4798739087704285,100.073,-0.15000000000000002,0.0,3.0,LTS0105274,O=C1CCC(=O)O1,0.03312272746545509
2277,2.631784021432617,466.53000000000026,3.8755000000000033,1.0,7.0,LTS0044735,CCCCCCCC(=O)C1=C2C3=COC(C4=C(C)C[C@H](O)CC4=O)=CC3=CC(=O)[C@]2(C)OC1=O,0.002334618800644625
2278,2.9078512721093768,344.4070000000001,3.1838000000000006,3.0,5.0,LTS0225920,COc1cc2ccc1Oc1cc(ccc1O)CCC(O)C(O)CCC2,0.0012363707667846723
2279,3.973593284506107,732.7760000000001,1.8687000000000022,1.0,15.0,LTS0046762,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)CO[C@H]3[C@H]4O[C@]5(C)[C@H]6C[C@H](O[C@@H]7OC=C[C@@]76OC(C)=O)[C@]5(O)[C@@]4(C)[C@@H]4[C@@](OC)(C(=O)OC)OC[C@@]14[C@@H]32,0.00010626902976513791
2280,3.104730622408545,458.63900000000035,6.1401000000000066,3.0,5.0,LTS0118697,CCCC(=O)C1=C(O)C(C)(C)C(O)=C(CCC2=CCC3C(C)(C)CCCC3(C)C2CO)C1=O,0.0007857228397371934
2281,2.890787808364495,470.6060000000002,5.252000000000006,1.0,6.0,LTS0263380,CC=C(C)C(=O)OC1C=C(C)CC(OC(=O)c2ccc(OC)cc2)C2C1(C)CCC2(O)C(C)C,0.001285914790685431
2282,4.09009134244337,692.7990000000005,0.9805000000000006,7.0,13.0,LTS0045500,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@]4(O)[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,8.126595765800333e-05
2283,3.5604959702494754,412.7020000000003,7.8008000000000095,1.0,1.0,LTS0123334,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,0.0002751085131760291
2284,1.59851733018533,332.452,4.377700000000003,0.0,1.0,LTS0045495,C[C@@](Cl)(/C=C/Br)[C@H](Cl)/C=C/C(C=O)=C\Cl,0.02520476599963464
2285,4.104057674008803,506.7270000000004,8.685400000000005,0.0,4.0,LTS0046711,CCC(C)CCC1C(C)CCC2C(c3cccc(C(=O)Oc4ccccc4OC)c3OC)CCCC12C,7.869412774947168e-05
2286,2.95236979149308,474.5060000000003,3.664100000000002,1.0,9.0,LTS0045751,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@@](C)(O)[C@@H]2OC(C)=O,0.001115912669860719
2287,2.347130199903623,510.75600000000037,4.8810000000000064,6.0,6.0,LTS0124713,CC(=CCCC(C)(O)C(O)CCC(C)=CCCC=C(C)CCC(O)C(C)(O)CCC=C(C)CO)CO,0.004496450327418576
2288,3.88927392869721,344.31900000000013,2.897000000000001,2.0,7.0,LTS0047224,COc1cc2occ(-c3cccc(O)c3OC)c(=O)c2c(O)c1OC,0.00012904051014241995
2289,1.2467893022949603,417.4580000000002,1.8584999999999998,3.0,7.0,LTS0252378,CC=C(C=C(C)C=CC=CC=C(C)C(=O)C12OC1C(O)(CCO)N=C2O)C(=O)OC,0.05665140663352454
2290,1.7526741934462535,190.198,2.0462,2.0,2.0,LTS0044964,O=C(O)/C=C\C=C\c1ccc(O)cc1,0.01767363194599227
2291,3.5781940692700975,516.5020000000003,4.302400000000003,1.0,9.0,LTS0116141,COc1cc(C2Oc3c(OC)cc4ccc(=O)oc4c3OC2CO)ccc1OC(=O)C=Cc1ccccc1,0.00026412282316653037
2292,1.9177505031433584,250.33799999999994,1.7261400000000002,3.0,3.0,LTS0226439,CC(=Cc1c(CO)cc(C)c(CCO)c1C)CO,0.012085079086999928
2293,2.040049860237673,312.538,6.6176000000000075,0.0,2.0,LTS0048931,CCCCCCCCCCCCCCCC1OC(C)C(C)O1,0.009119061397364549
2294,2.9553530154721006,390.564,6.985900000000008,3.0,3.0,LTS0044342,CCCCCCCCC=CCCCCCCCc1cc(O)cc(O)c1C(=O)O,0.0011082735908795563
2295,4.119701782443453,488.7090000000004,5.016000000000006,3.0,5.0,LTS0047229,CC(C)(O)[C@H](O)[C@H]1C[C@@H]([C@@H]2CC[C@]3(C)C4=CC[C@H]5C(C)(C)C(=O)CC[C@]5(C)[C@H]4CC[C@@]23C)[C@H](O)O1,7.59098647361145e-05
2296,3.153756880154347,870.9390000000006,-2.74219999999999,10.0,19.0,LTS0044479,CC1COC2(OC3C(=O)C4=C(CCC5C4CC=C4CC(O)CC(OC6OCC(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)C45C)C3C2C)C(O)C1O,0.0007018480859265054
2297,2.7455017762936684,264.32099999999997,1.9989,1.0,4.0,LTS0106411,C=C1C(=O)OC2CC(C)C3C=COC(O)C3(C)CC12,0.0017967937311511415
2298,4.159319555308127,237.29899999999995,0.871,1.0,4.0,LTS0105690,C/C=C(/C)C(=O)O[C@@H]1CCN2CC=C(CO)[C@@H]12,6.929157686944892e-05
2299,2.3933721412347366,751.237,16.924639999999968,1.0,2.0,LTS0047167,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1,0.004042293644206773
2300,2.385047385623,739.1759999999999,9.924100000000003,7.0,7.0,LTS0257001,C=CC(C)(O)CC/C=C(\C)CCCC(C)(O)CCCC(C)(O)CCCC(C)(O)CCCC(C)(O)CCCC(C)(O)CCCC(C)(O)CCC=C(C)C,0.004120525578251647
2301,2.8719392044006,460.4350000000001,0.21489999999999954,7.0,10.0,LTS0038187,OC[C@H]1O[C@H]2O[C@H](CC#Cc3ccc(O)c(O)c3)[C@H](c3ccc(O)c(O)c3)O[C@@H]2[C@@H](O)[C@@H]1O,0.0013429529439886703
2302,2.4908327699816066,381.3840000000002,2.9166000000000007,0.0,6.0,LTS0106153,COC1=C2c3ccc(OC)c(OC)c3C(=O)N2CCc2cc3c(cc21)OCO3,0.003229737529388142
2303,4.368445475657237,324.42400000000004,2.0067999999999997,2.0,4.0,LTS0038231,Cn1c2c(c3ccccc31)CC1C(CO)[C@H]3C[C@@H]2N1C/C3=C\CO,4.281091640074453e-05
